id,country,competition_1.1,competition_2.1,competition_3.1,competition_4.1,competition_4.2
australia,Australia,0.20,4.23,0.85,2.44,1.71
canada,Canada,0.59,4.26,0.84,3.04,0.94
china,China,0.06,2.23,0.75,5.96,2.98
china-2010,China 2010,0.06,2.09,0.56,6.00,2.45
france,France,0.05,3.91,0.96,5.38,1.98
germany,Germany,0.04,4.12,0.98,4.27,0.40
italy,Italy,0.04,2.78,0.95,3.12,1.35
japan,Japan,0.09,4.04,0.96,2.83,0.74
open-economy-avg,Open Economy Avg,0.12,3.86,0.93,2.79,1.09
south-korea,South Korea,0.12,3.69,0.88,2.58,1.35
spain,Spain,0.06,3.48,0.98,1.42,0.89
united-kingdom,United Kingdom,0.05,4.10,0.96,1.61,0.78
united-states,United States,0.05,3.96,0.93,1.22,0.79